gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset_id,gene_symbol,effect_scope,contrast,significant_fdr_0_10,direction,absolute_log2_fold_change,open_targets_queried,is_known_drug_target,has_approved_drug,n_drugs_or_candidates,best_clinical_stage,drug_names
ENSG00000131016,365.60087570298606,-0.05162023272103637,0.42739196291490456,-0.12077960560833982,0.9038656041993409,0.9999244088149658,Mareckova_E-MTAB-14039,AKAP12,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.05162023272103637,False,,,,,
ENSG00000165997,126.00676215437318,0.057885958114286304,0.4793714038757535,0.12075388236818889,0.9038859792513846,0.9999244088149658,Mareckova_E-MTAB-14039,ARL5B,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.057885958114286304,False,,,,,
ENSG00000069399,26.9450882445036,-0.061463738339958635,0.5091800963890141,-0.12071119585357924,0.9039197908374763,0.9999244088149658,Mareckova_E-MTAB-14039,BCL3,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.061463738339958635,False,,,,,
ENSG00000164687,613.7746773787733,-0.08444277608652775,0.6995499758042033,-0.12071014081510369,0.9039206265257202,0.9999244088149658,Mareckova_E-MTAB-14039,FABP5,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.08444277608652775,False,,,,,
ENSG00000111799,158.68945862961158,0.0937005863998077,0.7763305483866252,0.12069676582293049,0.9039312207682196,0.9999244088149658,Mareckova_E-MTAB-14039,COL12A1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.0937005863998077,False,,,,,
ENSG00000280650,341.9708259200347,-0.24064805156630173,1.9951537164566289,-0.12061629616874335,0.903994960607952,0.9999244088149658,Mareckova_E-MTAB-14039,KCNIP4-IT1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.24064805156630173,False,,,,,
ENSG00000145715,74.57150400805935,0.04837323468025188,0.401089602111132,0.12060455924471673,0.9040042574518972,0.9999244088149658,Mareckova_E-MTAB-14039,RASA1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.04837323468025188,False,,,,,
ENSG00000087088,219.11248692407412,-0.06390779385524835,0.5303141290413786,-0.12050931769585539,0.9040796989837337,0.9999244088149658,Mareckova_E-MTAB-14039,BAX,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.06390779385524835,False,,,,,
ENSG00000164209,83.02216848906107,-0.052355540783626996,0.4345228482761971,-0.12048973026695269,0.9040952144377054,0.9999244088149658,Mareckova_E-MTAB-14039,SLC25A46,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.052355540783626996,False,,,,,
ENSG00000251442,1.9912721667960733,0.16634157309979705,1.3806699399228026,0.12047888368533448,0.9041038061700479,0.9999244088149658,Mareckova_E-MTAB-14039,LINC01094,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.16634157309979705,False,,,,,
